t ch1 ch2 ch3
0 4.00e-04 4.00e-04 -1.52e+01
1 -4.00e-04 0.00e+00 -1.28e+01
2 4.00e-04 4.00e-04 -1.52e+01
3 -4.00e-04 0.00e+00 -1.44e+01
4 -4.00e-04 4.00e-04 -1.44e+01
5 8.00e-04 0.00e+00 -1.60e+01
6 4.00e-04 4.00e-04 -1.44e+01
7 -4.00e-04 0.00e+00 -1.60e+01 
8 -4.00e-04 4.00e-04 -1.60e+01
9 1.20e-03 0.00e+00 -1.52e+01
10 4.00e-04 4.00e-04 -1.60e+01
11 -4.00e-04 0.00e+00 -1.52e+01
12 4.00e-04 4.00e-04 -1.76e+01
13 -4.00e-04 0.00e+00 -1.52e+01
14 4.00e-04 4.00e-04 -1.76e+01
15 -4.00e-04 0.00e+00 -1.68e+01
16 -4.00e-04 4.00e-04 -1.68e+01
17 1.20e-03 0.00e+00 -1.76e+01
18 4.00e-04 2.00e-04 -1.68e+01
19 -4.00e-04 6.00e-04 -1.84e+01
20 1.20e-03 2.00e-04 -1.84e+01
21 -4.00e-04 6.00e-04 -1.76e+01
22 4.00e-04 2.00e-04 -1.84e+01
23 -4.00e-04 6.00e-04 -1.76e+01
24 4.00e-04 6.00e-04 -1.76e+01
25 -4.00e-04 2.00e-04 -2.00e+01
26 4.00e-04 2.00e-04 -1.92e+01
27 -4.00e-04 6.00e-04 -2.00e+01
28 4.00e-04 4.00e-04 -1.92e+01
29 -4.00e-04 8.00e-04 -2.00e+01
30 4.00e-04 4.00e-04 -1.92e+01
31 -4.00e-04 1.00e-03 -2.08e+01
32 4.00e-04 8.00e-04 -2.08e+01
33 -4.00e-04 2.00e-04 -2.00e+01
34 1.20e-03 6.00e-04 -2.08e+01
35 0.00e+00 3.40e-03 -2.00e+01
36 -4.00e-04 3.00e-03 -2.00e+01
37 1.20e-03 2.00e-03 -2.24e+01
38 4.00e-04 2.60e-03 -2.16e+01
39 -4.00e-04 7.60e-03 -2.24e+01
40 0.00e+00 1.12e-02 -2.24e+01
41 8.00e-04 5.80e-03 -2.16e+01
42 1.20e-03 1.18e-02 -2.16e+01
43 -4.00e-04 4.40e-03 -2.32e+01
44 -4.00e-04 4.80e-03 -2.32e+01
45 8.00e-04 1.40e-03 -2.24e+01
46 4.00e-04 2.20e-03 -2.32e+01
47 0.00e+00 6.00e-04 -2.24e+01
48 0.00e+00 1.00e-03 -2.24e+01
49 8.00e-04 2.00e-04 -2.48e+01
50 1.20e-03 6.00e-04 -2.40e+01
51 0.00e+00 2.00e-04 -2.48e+01
52 0.00e+00 2.00e-04 -2.40e+01
53 8.00e-04 6.00e-04 -2.48e+01
54 8.00e-04 4.00e-04 -2.40e+01
55 -4.00e-04 0.00e+00 -2.56e+01
56 0.00e+00 4.00e-04 -2.48e+01
57 1.20e-03 0.00e+00 -2.56e+01
58 0.00e+00 4.00e-04 -2.48e+01
59 1.20e-03 0.00e+00 -2.56e+01
60 0.00e+00 4.00e-04 -2.48e+01
61 1.20e-03 0.00e+00 -2.72e+01
62 1.20e-03 4.00e-04 -2.56e+01
63 0.00e+00 0.00e+00 -2.72e+01
64 0.00e+00 4.00e-04 -2.64e+01
65 1.20e-03 0.00e+00 -2.72e+01
66 0.00e+00 0.00e+00 -2.64e+01
67 8.00e-04 4.00e-04 -2.80e+01
68 0.00e+00 0.00e+00 -2.80e+01
69 1.20e-03 4.00e-04 -2.64e+01
70 0.00e+00 0.00e+00 -2.80e+01
71 1.20e-03 4.00e-04 -2.72e+01
72 0.00e+00 4.00e-04 -2.72e+01
73 1.20e-03 0.00e+00 -2.88e+01
74 0.00e+00 4.00e-04 -2.96e+01
75 1.20e-03 0.00e+00 -2.72e+01
76 1.20e-03 0.00e+00 -2.96e+01
77 0.00e+00 4.00e-04 -2.88e+01
78 0.00e+00 0.00e+00 -2.88e+01
79 8.00e-04 4.00e-04 -3.04e+01
80 0.00e+00 0.00e+00 -3.04e+01
81 1.20e-03 4.00e-04 -2.88e+01
82 1.20e-03 4.00e-04 -3.04e+01
83 0.00e+00 0.00e+00 -2.96e+01
84 1.20e-03 0.00e+00 -3.04e+01
85 -4.00e-04 4.00e-04 -2.96e+01
86 -4.00e-04 0.00e+00 -2.96e+01
87 1.20e-03 4.00e-04 -3.20e+01
88 4.00e-04 0.00e+00 -3.12e+01
89 -4.00e-04 4.00e-04 -3.20e+01
90 4.00e-04 0.00e+00 -3.12e+01
91 -4.00e-04 4.00e-04 -3.28e+01
92 1.20e-03 4.00e-04 -3.12e+01
93 0.00e+00 0.00e+00 -3.28e+01
94 1.20e-03 4.00e-04 -3.28e+01
95 -4.00e-04 0.00e+00 -3.20e+01
96 8.00e-04 4.00e-04 -3.20e+01
97 -4.00e-04 0.00e+00 -3.36e+01
98 1.20e-03 0.00e+00 -3.20e+01
99 -4.00e-04 4.00e-04 -3.44e+01
100 0.00e+00 4.00e-04 -3.44e+01
101 1.20e-03 0.00e+00 -3.36e+01
102 0.00e+00 4.00e-04 -3.36e+01
103 1.20e-03 0.00e+00 -3.44e+01
104 1.20e-03 0.00e+00 -3.36e+01
105 0.00e+00 4.00e-04 -3.52e+01
106 0.00e+00 4.00e-04 -3.44e+01
107 1.20e-03 0.00e+00 -3.52e+01
108 0.00e+00 4.00e-04 -3.52e+01
109 1.20e-03 0.00e+00 -3.44e+01
110 1.20e-03 4.00e-04 -3.44e+01
111 0.00e+00 0.00e+00 -3.68e+01
112 0.00e+00 0.00e+00 -3.68e+01
113 1.20e-03 4.00e-04 -3.60e+01
114 0.00e+00 4.00e-04 -3.68e+01
115 1.20e-03 0.00e+00 -3.60e+01
116 0.00e+00 4.00e-04 -3.60e+01
117 1.20e-03 0.00e+00 -3.76e+01
118 8.00e-04 4.00e-04 -3.76e+01
119 0.00e+00 0.00e+00 -3.68e+01
120 1.20e-03 0.00e+00 -3.76e+01
121 0.00e+00 4.00e-04 -3.68e+01
122 1.20e-03 4.00e-04 -3.68e+01
123 0.00e+00 0.00e+00 -3.92e+01
124 1.20e-03 0.00e+00 -3.92e+01
125 -4.00e-04 4.00e-04 -3.84e+01
126 0.00e+00 4.00e-04 -3.84e+01
127 1.20e-03 0.00e+00 -3.92e+01
128 0.00e+00 4.00e-04 -3.84e+01
129 1.20e-03 0.00e+00 -4.00e+01
130 0.00e+00 4.00e-04 -4.00e+01
131 1.20e-03 0.00e+00 -3.92e+01
132 1.20e-03 4.00e-04 -4.00e+01
133 0.00e+00 0.00e+00 -3.92e+01
134 0.00e+00 4.00e-04 -3.92e+01
135 1.20e-03 0.00e+00 -4.16e+01
136 0.00e+00 4.00e-04 -4.16e+01
137 1.20e-03 0.00e+00 -4.00e+01
138 0.00e+00 4.00e-04 -4.16e+01
139 1.20e-03 0.00e+00 -4.08e+01
140 1.20e-03 0.00e+00 -4.08e+01
141 0.00e+00 4.00e-04 -4.24e+01
142 1.20e-03 4.00e-04 -4.24e+01
143 0.00e+00 0.00e+00 -4.16e+01
144 -4.00e-04 4.00e-04 -4.24e+01
145 1.20e-03 0.00e+00 -4.16e+01
146 4.00e-04 4.00e-04 -4.16e+01
147 -4.00e-04 0.00e+00 -4.40e+01
148 8.00e-04 4.00e-04 -4.32e+01
149 0.00e+00 0.00e+00 -4.40e+01
150 -4.00e-04 0.00e+00 -4.40e+01
151 1.20e-03 4.00e-04 -4.32e+01
152 -4.00e-04 0.00e+00 -4.32e+01
153 8.00e-04 4.00e-04 -4.48e+01
154 8.00e-04 0.00e+00 -4.48e+01
155 -4.00e-04 4.00e-04 -4.40e+01
156 1.20e-03 0.00e+00 -4.48e+01
157 0.00e+00 4.00e-04 -4.40e+01
158 0.00e+00 0.00e+00 -4.40e+01
159 1.20e-03 4.00e-04 -4.56e+01
160 1.20e-03 4.00e-04 -4.64e+01
161 0.00e+00 0.00e+00 -4.40e+01
162 0.00e+00 4.00e-04 -4.56e+01
163 1.20e-03 0.00e+00 -4.64e+01
