lambda  n   fit
4.767699999999999818e+02 4.506000000000000227e+01 0.000000000000000000e+00
4.768399999999999750e+02 4.506000000000000227e+01 0.000000000000000000e+00
4.769100000000000250e+02 4.506000000000000227e+01 0.000000000000000000e+00
4.769800000000000182e+02 -1.842999999999999972e+01 0.000000000000000000e+00
4.770400000000000205e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.771100000000000136e+02 2.662000000000000099e+01 0.000000000000000000e+00
4.771800000000000068e+02 2.867000000000000171e+01 0.000000000000000000e+00
4.772500000000000000e+02 2.867000000000000171e+01 0.000000000000000000e+00
4.773199999999999932e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.773899999999999864e+02 -6.554000000000000625e+01 0.000000000000000000e+00
4.774499999999999886e+02 -4.710000000000000142e+01 0.000000000000000000e+00
4.775199999999999818e+02 7.576999999999999602e+01 0.000000000000000000e+00
4.775899999999999750e+02 -1.433999999999999986e+01 0.000000000000000000e+00
4.776600000000000250e+02 -3.277000000000000313e+01 0.000000000000000000e+00
4.777300000000000182e+02 -3.071999999999999886e+01 0.000000000000000000e+00
4.778000000000000114e+02 -3.071999999999999886e+01 0.000000000000000000e+00
4.778600000000000136e+02 4.096000000000000085e+01 0.000000000000000000e+00
4.779300000000000068e+02 -7.781999999999999318e+01 0.000000000000000000e+00
4.780000000000000000e+02 3.685999999999999943e+01 0.000000000000000000e+00
4.780699999999999932e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.781399999999999864e+02 7.781999999999999318e+01 0.000000000000000000e+00
4.782099999999999795e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.782699999999999818e+02 -9.829999999999999716e+01 0.000000000000000000e+00
4.783399999999999750e+02 5.939000000000000057e+01 0.000000000000000000e+00
4.784100000000000250e+02 4.096000000000000085e+01 0.000000000000000000e+00
4.784800000000000182e+02 3.482000000000000028e+01 0.000000000000000000e+00
4.785500000000000114e+02 -1.228999999999999915e+01 0.000000000000000000e+00
4.786200000000000045e+02 1.433999999999999986e+01 0.000000000000000000e+00
4.786800000000000068e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.787500000000000000e+02 -5.325000000000000000e+01 0.000000000000000000e+00
4.788199999999999932e+02 -4.300999999999999801e+01 0.000000000000000000e+00
