t   ch2 ch3 fit
-5.995999999999999552e+00 4.000000000000000222e-01 -1.519999999999999929e+01 3.031118456904343542e-54
-5.985999999999999766e+00 0.000000000000000000e+00 -1.280000000000000071e+01 1.307776362279558690e-51
-5.975999999999999979e+00 4.000000000000000222e-01 -1.519999999999999929e+01 4.854639054108711504e-49
-5.966000000000000192e+00 0.000000000000000000e+00 -1.440000000000000036e+01 1.550505442619012062e-46
-5.955999999999999517e+00 4.000000000000000222e-01 -1.440000000000000036e+01 4.260715464290816260e-44
-5.945999999999999730e+00 0.000000000000000000e+00 -1.600000000000000000e+01 1.007359896951346465e-41
-5.935999999999999055e+00 4.000000000000000222e-01 -1.440000000000000036e+01 2.049177932849537467e-39
-5.926000000000000156e+00 0.000000000000000000e+00 -1.600000000000000000e+01 3.586473043347393070e-37
-5.915999999999999481e+00 4.000000000000000222e-01 -1.600000000000000000e+01 5.400678928843512190e-35
-5.905999999999999694e+00 0.000000000000000000e+00 -1.519999999999999929e+01 6.997163711085273392e-33
-5.895999999999999019e+00 4.000000000000000222e-01 -1.600000000000000000e+01 7.799892169415400990e-31
-5.886000000000000121e+00 0.000000000000000000e+00 -1.519999999999999929e+01 7.480800105797794800e-29
-5.875999999999999446e+00 4.000000000000000222e-01 -1.760000000000000142e+01 6.173058450883018081e-27
-5.865999999999999659e+00 0.000000000000000000e+00 -1.519999999999999929e+01 4.382739076269597994e-25
-5.855999999999998984e+00 4.000000000000000222e-01 -1.760000000000000142e+01 2.677217964019935144e-23
-5.845999999999999197e+00 0.000000000000000000e+00 -1.680000000000000071e+01 1.407066854168189477e-21
-5.835999999999999410e+00 4.000000000000000222e-01 -1.680000000000000071e+01 6.362658622065550653e-20
-5.825999999999999623e+00 0.000000000000000000e+00 -1.760000000000000142e+01 2.475457075779953636e-18
-5.815999999999999837e+00 2.000000000000000111e-01 -1.680000000000000071e+01 8.286384196486235339e-17
-5.805999999999999162e+00 5.999999999999999778e-01 -1.839999999999999858e+01 2.386533958468881948e-15
-5.796000000000000263e+00 2.000000000000000111e-01 -1.839999999999999858e+01 5.913751335343085289e-14
-5.785999999999999588e+00 5.999999999999999778e-01 -1.760000000000000142e+01 1.260815059612610205e-12
-5.775999999999999801e+00 2.000000000000000111e-01 -1.839999999999999858e+01 2.312770843530321924e-11
-5.765999999999999126e+00 5.999999999999999778e-01 -1.760000000000000142e+01 3.650116344792025451e-10
-5.756000000000000227e+00 5.999999999999999778e-01 -1.760000000000000142e+01 4.956483891130193818e-09
-5.745999999999999552e+00 2.000000000000000111e-01 -2.000000000000000000e+01 5.790733498654136238e-08
-5.735999999999999766e+00 2.000000000000000111e-01 -1.919999999999999929e+01 5.820849159895373700e-07
-5.725999999999999091e+00 5.999999999999999778e-01 -2.000000000000000000e+01 5.034217788192597246e-06
-5.715999999999999304e+00 4.000000000000000222e-01 -1.919999999999999929e+01 3.746023885807791962e-05
-5.705999999999999517e+00 8.000000000000000444e-01 -2.000000000000000000e+01 2.398291522530247464e-04
-5.695999999999999730e+00 4.000000000000000222e-01 -1.919999999999999929e+01 1.321071398496641552e-03
-5.685999999999999055e+00 1.000000000000000000e+00 -2.080000000000000071e+01 6.260996998222384535e-03
-5.675999999999999268e+00 8.000000000000000444e-01 -2.080000000000000071e+01 2.553016306709990010e-02
-5.665999999999999481e+00 2.000000000000000111e-01 -2.000000000000000000e+01 8.956876161103079215e-02
-5.655999999999999694e+00 5.999999999999999778e-01 -2.080000000000000071e+01 2.703662256353064897e-01
-5.645999999999999908e+00 3.399999999999999911e+00 -2.000000000000000000e+01 7.021682605188319659e-01
-5.635999999999999233e+00 3.000000000000000000e+00 -2.000000000000000000e+01 1.568999620566310815e+00
-5.626000000000000334e+00 2.000000000000000000e+00 -2.239999999999999858e+01 3.016458607972210881e+00
-5.615999999999999659e+00 2.600000000000000089e+00 -2.160000000000000142e+01 4.989589184959918100e+00
-5.605999999999999872e+00 7.599999999999999645e+00 -2.239999999999999858e+01 7.101091305638673745e+00
-5.595999999999999197e+00 1.119999999999999929e+01 -2.239999999999999858e+01 8.695174290928983751e+00
-5.585999999999999410e+00 5.799999999999999822e+00 -2.160000000000000142e+01 9.160609581233620347e+00
-5.575999999999999623e+00 1.179999999999999893e+01 -2.160000000000000142e+01 8.303541192257242187e+00
-5.565999999999999837e+00 4.400000000000000355e+00 -2.319999999999999929e+01 6.475826466733585640e+00
-5.555999999999999162e+00 4.799999999999999822e+00 -2.319999999999999929e+01 4.345301826114000399e+00
-5.545999999999999375e+00 1.399999999999999911e+00 -2.239999999999999858e+01 2.508635602287936806e+00
-5.535999999999999588e+00 2.200000000000000178e+00 -2.319999999999999929e+01 1.246086246296883804e+00
-5.525999999999999801e+00 5.999999999999999778e-01 -2.239999999999999858e+01 5.325391138678365888e-01
-5.515999999999999126e+00 1.000000000000000000e+00 -2.239999999999999858e+01 1.958158344964258391e-01
-5.505999999999999339e+00 2.000000000000000111e-01 -2.480000000000000071e+01 6.194938395499905576e-02
-5.495999999999999552e+00 5.999999999999999778e-01 -2.400000000000000000e+01 1.686238744706641118e-02
-5.485999999999999766e+00 2.000000000000000111e-01 -2.480000000000000071e+01 3.949062648193036283e-03
-5.475999999999999979e+00 2.000000000000000111e-01 -2.400000000000000000e+01 7.957229257159989825e-04
-5.465999999999999304e+00 5.999999999999999778e-01 -2.480000000000000071e+01 1.379502861884847407e-04
-5.455999999999999517e+00 4.000000000000000222e-01 -2.400000000000000000e+01 2.057672381915793180e-05
-5.445999999999999730e+00 0.000000000000000000e+00 -2.560000000000000142e+01 2.640722336565793552e-06
-5.435999999999999943e+00 4.000000000000000222e-01 -2.480000000000000071e+01 2.915829577838425960e-07
-5.425999999999999268e+00 0.000000000000000000e+00 -2.560000000000000142e+01 2.770093466214902090e-08
