t   ch1 ch2
-5.995999999999999552e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.985999999999999766e+00 6.799999999999999822e+00 2.000000000000000111e-01
-5.975999999999999979e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.966000000000000192e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.955999999999999517e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.945999999999999730e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.935999999999999055e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.926000000000000156e+00 7.599999999999999645e+00 2.000000000000000111e-01
-5.915999999999999481e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.905999999999999694e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.895999999999999019e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.886000000000000121e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.875999999999999446e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.865999999999999659e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.855999999999998984e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.845999999999999197e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.835999999999999410e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.825999999999999623e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.815999999999999837e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.805999999999999162e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.796000000000000263e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.785999999999999588e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.775999999999999801e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.765999999999999126e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.756000000000000227e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.745999999999999552e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.735999999999999766e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.725999999999999091e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.715999999999999304e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.705999999999999517e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.695999999999999730e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.685999999999999055e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.675999999999999268e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.665999999999999481e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.655999999999999694e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.645999999999999908e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.635999999999999233e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.626000000000000334e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.615999999999999659e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.605999999999999872e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.595999999999999197e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.585999999999999410e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.575999999999999623e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.565999999999999837e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.555999999999999162e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.545999999999999375e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.535999999999999588e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.525999999999999801e+00 7.599999999999999645e+00 2.000000000000000111e-01
-5.515999999999999126e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.505999999999999339e+00 6.799999999999999822e+00 2.000000000000000111e-01
-5.495999999999999552e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.485999999999999766e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.475999999999999979e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.465999999999999304e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.455999999999999517e+00 7.599999999999999645e+00 2.000000000000000111e-01
-5.445999999999999730e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.435999999999999943e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.425999999999999268e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.415999999999999481e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.405999999999999694e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.395999999999999908e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.385999999999999233e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.375999999999999446e+00 7.599999999999999645e+00 0.000000000000000000e+00
-5.365999999999999659e+00 6.799999999999999822e+00 4.000000000000000222e-01
-5.355999999999999872e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.345999999999999197e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.335999999999999410e+00 6.799999999999999822e+00 0.000000000000000000e+00
-5.325999999999998735e+00 7.599999999999999645e+00 4.000000000000000222e-01
-5.315999999999999837e+00 6.799999999999999822e+00 0.000000000000000000e+00
